,시가,고가,저가,종가,거래량,거래대금,등락률,날짜,종목코드,종목명,BPS,PER,PBR,EPS,DIV,DPS
187,0,0,0,0,0,0,0.0,20231231,000050,경방,0.0,0.0,0.0,0.0,0.0,0.0
188,0,0,0,0,0,0,0.0,20231231,214390,경보제약,0.0,0.0,0.0,0.0,0.0,0.0
189,0,0,0,0,0,0,0.0,20231231,012610,경인양행,0.0,0.0,0.0,0.0,0.0,0.0
190,0,0,0,0,0,0,0.0,20231231,009140,경인전자,0.0,0.0,0.0,0.0,0.0,0.0
191,0,0,0,0,0,0,0.0,20231231,013580,계룡건설,0.0,0.0,0.0,0.0,0.0,0.0
192,0,0,0,0,0,0,0.0,20231231,012200,계양전기,0.0,0.0,0.0,0.0,0.0,0.0
193,0,0,0,0,0,0,0.0,20231231,012205,계양전기우,0.0,0.0,0.0,0.0,0.0,0.0
194,0,0,0,0,0,0,0.0,20231231,002140,고려산업,0.0,0.0,0.0,0.0,0.0,0.0
195,0,0,0,0,0,0,0.0,20231231,010130,고려아연,0.0,0.0,0.0,0.0,0.0,0.0
196,0,0,0,0,0,0,0.0,20231231,002240,고려제강,0.0,0.0,0.0,0.0,0.0,0.0
197,0,0,0,0,0,0,0.0,20231231,009290,광동제약,0.0,0.0,0.0,0.0,0.0,0.0
198,0,0,0,0,0,0,0.0,20231231,017040,광명전기,0.0,0.0,0.0,0.0,0.0,0.0
199,0,0,0,0,0,0,0.0,20231231,017900,광전자,0.0,0.0,0.0,0.0,0.0,0.0
200,0,0,0,0,0,0,0.0,20231231,037710,광주신세계,0.0,0.0,0.0,0.0,0.0,0.0
201,0,0,0,0,0,0,0.0,20231231,030610,교보증권,0.0,0.0,0.0,0.0,0.0,0.0
202,0,0,0,0,0,0,0.0,20231231,339770,교촌에프앤비,0.0,0.0,0.0,0.0,0.0,0.0
203,0,0,0,0,0,0,0.0,20231231,007690,국도화학,0.0,0.0,0.0,0.0,0.0,0.0
204,0,0,0,0,0,0,0.0,20231231,005320,국동,0.0,0.0,0.0,0.0,0.0,0.0
205,0,0,0,0,0,0,0.0,20231231,001140,국보,0.0,0.0,0.0,0.0,0.0,0.0
206,0,0,0,0,0,0,0.0,20231231,002720,국제약품,0.0,0.0,0.0,0.0,0.0,0.0
207,0,0,0,0,0,0,0.0,20231231,083420,그린케미칼,0.0,0.0,0.0,0.0,0.0,0.0
208,0,0,0,0,0,0,0.0,20231231,014530,극동유화,0.0,0.0,0.0,0.0,0.0,0.0
209,0,0,0,0,0,0,0.0,20231231,014280,금강공업,0.0,0.0,0.0,0.0,0.0,0.0
210,0,0,0,0,0,0,0.0,20231231,014285,금강공업우,0.0,0.0,0.0,0.0,0.0,0.0
211,0,0,0,0,0,0,0.0,20231231,008870,금비,0.0,0.0,0.0,0.0,0.0,0.0
212,0,0,0,0,0,0,0.0,20231231,001570,금양,0.0,0.0,0.0,0.0,0.0,0.0
213,0,0,0,0,0,0,0.0,20231231,002990,금호건설,0.0,0.0,0.0,0.0,0.0,0.0
214,0,0,0,0,0,0,0.0,20231231,002995,금호건설우,0.0,0.0,0.0,0.0,0.0,0.0
215,0,0,0,0,0,0,0.0,20231231,011780,금호석유,0.0,0.0,0.0,0.0,0.0,0.0
216,0,0,0,0,0,0,0.0,20231231,011785,금호석유우,0.0,0.0,0.0,0.0,0.0,0.0
217,0,0,0,0,0,0,0.0,20231231,214330,금호에이치티,0.0,0.0,0.0,0.0,0.0,0.0
218,0,0,0,0,0,0,0.0,20231231,001210,금호전기,0.0,0.0,0.0,0.0,0.0,0.0
219,0,0,0,0,0,0,0.0,20231231,073240,금호타이어,0.0,0.0,0.0,0.0,0.0,0.0
220,0,0,0,0,0,0,0.0,20231231,092440,기신정기,0.0,0.0,0.0,0.0,0.0,0.0
221,0,0,0,0,0,0,0.0,20231231,000270,기아,0.0,0.0,0.0,0.0,0.0,0.0
222,0,0,0,0,0,0,0.0,20231231,024110,기업은행,0.0,0.0,0.0,0.0,0.0,0.0
223,0,0,0,0,0,0,0.0,20231231,013700,까뮤이앤씨,0.0,0.0,0.0,0.0,0.0,0.0
224,0,0,0,0,0,0,0.0,20231231,004540,깨끗한나라,0.0,0.0,0.0,0.0,0.0,0.0
225,0,0,0,0,0,0,0.0,20231231,004545,깨끗한나라우,0.0,0.0,0.0,0.0,0.0,0.0
226,0,0,0,0,0,0,0.0,20231231,001260,남광토건,0.0,0.0,0.0,0.0,0.0,0.0
227,0,0,0,0,0,0,0.0,20231231,008350,남선알미늄,0.0,0.0,0.0,0.0,0.0,0.0
228,0,0,0,0,0,0,0.0,20231231,008355,남선알미우,0.0,0.0,0.0,0.0,0.0,0.0
229,0,0,0,0,0,0,0.0,20231231,004270,남성,0.0,0.0,0.0,0.0,0.0,0.0
230,0,0,0,0,0,0,0.0,20231231,003920,남양유업,0.0,0.0,0.0,0.0,0.0,0.0
231,0,0,0,0,0,0,0.0,20231231,003925,남양유업우,0.0,0.0,0.0,0.0,0.0,0.0
232,0,0,0,0,0,0,0.0,20231231,025860,남해화학,0.0,0.0,0.0,0.0,0.0,0.0
233,0,0,0,0,0,0,0.0,20231231,005720,넥센,0.0,0.0,0.0,0.0,0.0,0.0
234,0,0,0,0,0,0,0.0,20231231,005725,넥센우,0.0,0.0,0.0,0.0,0.0,0.0
235,0,0,0,0,0,0,0.0,20231231,002350,넥센타이어,0.0,0.0,0.0,0.0,0.0,0.0
236,0,0,0,0,0,0,0.0,20231231,002355,넥센타이어1우B,0.0,0.0,0.0,0.0,0.0,0.0
237,0,0,0,0,0,0,0.0,20231231,092790,넥스틸,0.0,0.0,0.0,0.0,0.0,0.0
